id,canonical_name,developer,technology,status,mw_peak,mw_nominal,hectares,turbines,first_seen,last_seen,municipalities,ine_codes,provinces,document_urls
108,parque eólico «Perdices» y subestación eléctrica «Borbollón y Perdices»,"Sistemas Energéticos del Sur, S.A.",eolica,desconocido,,,,,2024-04-29,2024-04-29,Antequera,29015,Málaga,https://juntadeandalucia.es/eboja/2024/82/BOJA24-082-00001-18997-01_00294129.pdf https://juntadeandalucia.es/eboja/2024/82/BOJA24-082-00001-18998-01_00294128.pdf
112,Líneas aéreas/subterráneas de alta tensión 66 kV para la conexión entre las SET Ence Sevilla-SET Santiponce-SET Carambolo y SET Salteras-SET Tomares-SET Centenario (tramo soterrado nudo de La Pañoleta),"Santillán Solar, S.L.U.",linea_evacuacion,favorable_condicionada,,,,,2025-01-29,2025-01-29,Camas; Sevilla,41021;41091,Sevilla,https://juntadeandalucia.es/eboja/2025/19/BOJA25-019-00001-819-01_00314429.pdf
113,Cortijo Blanco,"Generación Eolicosolar 4, S.L.",solar_fv,desconocido,,,,,2023-03-01,2025-01-29,Armilla; Churriana de la Vega; Granada; Las Gabias; Ogíjares,18021;18062;18087;18905;18145,Granada,https://juntadeandalucia.es/eboja/2023/40/BOJA23-040-00001-3366-01_00278442.pdf https://juntadeandalucia.es/eboja/2025/19/BOJA25-019-00001-823-01_00314433.pdf
114,Modus Solar Tres,"Modus Solar Andalusia, S.L.",solar_fv,desconocido,49.98,,,,2022-12-28,2022-12-28,Alcalá de Guadaíra; Mairena del Alcor,41004;41058,Sevilla,https://juntadeandalucia.es/eboja/2022/247/BOJA22-247-00001-20795-01_00273986.pdf
115,Dama de Baza,Parque Eólico Dama de Baza S.L.,eolica,desconocido,,,,,2023-11-28,2024-08-05,Huéneja,18097,Granada,https://juntadeandalucia.es/eboja/2023/228/BOJA23-228-00001-17276-01_00292281.pdf https://juntadeandalucia.es/eboja/2024/151/BOJA24-151-00001-48866-01_00305817.pdf
116,Parque Eólico Virgen de las Angustias,"Planta Fotovoltaica Patria I, S.L.",eolica,desconocido,,,,,2023-11-28,2023-11-28,Albuñuelas; El Valle; Padul; Villamena,18007;18902;18150;18908,Granada,https://juntadeandalucia.es/eboja/2023/228/BOJA23-228-00001-17876-01_00292893.pdf
117,Planta Solar Fotovoltaica «Colón V»,"Bogaris PV45, S.L.U.",solar_fv,desconocido,24.99,,,,2022-11-28,2022-11-28,Gibraleón; Trigueros,21035;21070,Huelva,https://juntadeandalucia.es/eboja/2022/228/BOJA22-228-00001-18669-01_00271902.pdf
118,Planta solar fotovoltaica el descubrimiento 90,"Arena Green Power Ren 88, S.L.U.",solar_fv,favorable_condicionada,5.0,90.0,326.7221,,2024-11-13,2025-08-28,Dos Hermanas,41038,Sevilla,https://juntadeandalucia.es/eboja/2024/221/BOJA24-221-00001-53360-01_00310308.pdf https://juntadeandalucia.es/eboja/2024/221/BOJA24-221-00001-53361-01_00310309.pdf https://juntadeandalucia.es/eboja/2024/221/BOJA24-221-00001-53362-01_00310310.pdf https://juntadeandalucia.es/eboja/2025/165/BOJA25-165-00001-11521-01_00325119.pdf https://juntadeandalucia.es/eboja/2025/165/BOJA25-165-00001-11524-01_00325122.pdf
121,Hidrogenoducto,"Siroco Hydrogen 3, S.L.",otra,en_consulta,,,,,2025-07-28,2025-07-28,Arcos de la Frontera; Benalup-Casas Viejas; Bornos; Espera; Jerez de la Frontera; Los Barrios; Medina Sidonia; Paterna de Rivera; Villamartín,11006;11901;11010;11017;11020;11008;11023;11025;11041,Cádiz,https://juntadeandalucia.es/eboja/2025/143/BOJA25-143-00002-10550-01_00324148.pdf
122,"Planta solar fotovoltaica Jarico 1 de 38,8 MWp","Jarico Energía 1, S.L.",solar_fv,desfavorable,38.8,,,,2023-07-28,2023-07-28,Tarifa,11035,Cádiz,https://juntadeandalucia.es/eboja/2023/144/BOJA23-144-00001-12709-01_00287716.pdf
123,"Planta solar fotovoltaica Zumajo Solar 1, de 18,009 MWP, línea de evacuación 30 kV","Markeb Solar, S.L.",solar_fv,favorable_condicionada,18.009,,,,2023-06-28,2023-07-04,Benalup-Casas Viejas; Medina Sidonia,11901;11023,Cádiz,https://juntadeandalucia.es/eboja/2023/122/BOJA23-122-00001-10778-01_00285801.pdf https://juntadeandalucia.es/eboja/2023/126/BOJA23-126-00001-10775-01_00285800.pdf
124,Repotenciación P.E. Los Lances,"Sociedad Eólica Los Lances, S.A.",eolica,favorable_condicionada,24.0,12.0,,,2023-04-28,2026-07-15,Tarifa,11035,Cádiz,https://juntadeandalucia.es/eboja/2023/103/BOJA23-103-00001-8555-01_00283588.pdf https://juntadeandalucia.es/eboja/2023/140/BOJA23-140-00001-12442-01_00287456.pdf https://juntadeandalucia.es/eboja/2023/80/BOJA23-080-00001-5576-01_00280619.pdf https://juntadeandalucia.es/eboja/2023/80/BOJA23-080-00001-5850-01_00280887.pdf https://juntadeandalucia.es/eboja/2023/81/BOJA23-081-00001-5595-01_00280639.pdf https://juntadeandalucia.es/eboja/2024/149/BOJA24-149-00001-48873-01_00305822.pdf https://juntadeandalucia.es/eboja/2024/189/BOJA24-189-00001-50133-01_00307082.pdf https://juntadeandalucia.es/eboja/2024/189/BOJA24-189-00001-50134-01_00307083.pdf https://juntadeandalucia.es/eboja/2024/189/BOJA24-189-00001-50278-01_00307227.pdf https://juntadeandalucia.es/eboja/2024/199/BOJA24-199-00001-51952-01_00308901.pdf https://juntadeandalucia.es/eboja/2024/204/BOJA24-204-00001-51683-01_00308632.pdf https://juntadeandalucia.es/eboja/2024/30/BOJA24-030-00001-1004-01_00296459.pdf https://juntadeandalucia.es/eboja/2024/41/BOJA24-041-00001-1447-01_00297428.pdf https://juntadeandalucia.es/eboja/2024/45/BOJA24-045-00001-1446-01_00297427.pdf https://juntadeandalucia.es/eboja/2024/57/BOJA24-057-00001-1372-01_00297212.pdf https://juntadeandalucia.es/eboja/2024/60/BOJA24-060-00001-1757-01_00298447.pdf https://juntadeandalucia.es/eboja/2024/66/BOJA24-066-00001-1758-01_00298446.pdf https://juntadeandalucia.es/eboja/2025/23/BOJA25-023-00001-1312-01_00314922.pdf https://juntadeandalucia.es/eboja/2025/67/BOJA25-067-00001-4921-01_00318523.pdf https://juntadeandalucia.es/eboja/2026/135/BOJA26-135-00001-8347-01_00339581.pdf https://juntadeandalucia.es/eboja/2026/47/BOJA26-047-00001-3194-01_00334415.pdf https://juntadeandalucia.es/eboja/2026/80/BOJA26-080-00001-5075-01_00336312.pdf
127,Mamut,"Alcance Fotovoltaico, S.L.",hibrida,favorable_condicionada,0.875,0.875,,,2023-06-05,2026-01-12,Agrón; Albuñuelas; Alhendín; Escúzar; Padul; Ventas de Huelma,18001;18007;18014;18072;18150;18185,Granada,https://juntadeandalucia.es/eboja/2023/105/BOJA23-105-00001-9564-01_00284589.pdf https://juntadeandalucia.es/eboja/2023/183/BOJA23-183-00001-14349-01_00289346.pdf https://juntadeandalucia.es/eboja/2023/220/BOJA23-220-00001-17270-01_00292278.pdf https://juntadeandalucia.es/eboja/2025/175/BOJA25-175-00001-11578-01_00325176.pdf https://juntadeandalucia.es/eboja/2025/22/BOJA25-022-00001-941-01_00314551.pdf https://juntadeandalucia.es/eboja/2025/60/BOJA25-060-00001-1941-01_00315549.pdf https://juntadeandalucia.es/eboja/2026/6/BOJA26-006-00001-13993-01_00327590.pdf
128,Infraestructuras de evacuación del conjunto fotovoltaico PVS Chucena 4 x 5 MW. Subestación eléctrica 66/30 kV «Chucena PV colectora» y LAT 66 KV SET Chucena PV Colectora-SET Chucena-MGE,"Chucena Evacuación, S.L.",linea_evacuacion,favorable_condicionada,20.0,20.0,21.5095,,2022-09-20,2025-12-22,Benacazón; Bollullos de la Mitación; Chucena; Huévar del Aljarafe; Pilas,41015;41016;21030;41051;41075,Huelva; Sevilla,https://juntadeandalucia.es/eboja/2022/181/BOJA22-181-00001-14483-01_00267769.pdf https://juntadeandalucia.es/eboja/2023/22/BOJA23-022-00001-1396-01_00276502.pdf https://juntadeandalucia.es/eboja/2023/22/BOJA23-022-00001-1397-01_00276509.pdf https://juntadeandalucia.es/eboja/2023/235/BOJA23-235-00001-18196-01_00293236.pdf https://juntadeandalucia.es/eboja/2023/59/BOJA23-059-00001-21367-01_00274688.pdf https://juntadeandalucia.es/eboja/2023/86/BOJA23-086-00001-7408-01_00282448.pdf https://juntadeandalucia.es/eboja/2025/115/BOJA25-115-00001-8162-01_00321761.pdf https://juntadeandalucia.es/eboja/2025/229/BOJA25-229-00001-15735-01_00329332.pdf https://juntadeandalucia.es/eboja/2025/245/BOJA25-245-00001-16864-01_00330462.pdf
129,Repotenciación del Parque Eólico Carrascal I,"Olivento, S.L.",eolica,en_consulta,,,,,2026-01-28,2026-07-24,Serón; Tíjola,04083;04092,Almería,https://juntadeandalucia.es/eboja/2026/142/BOJA26-142-00001-9965-01_00341195.pdf https://juntadeandalucia.es/eboja/2026/142/BOJA26-142-00002-9966-01_00341196.pdf https://juntadeandalucia.es/eboja/2026/18/BOJA26-018-00001-956-01_00332180.pdf
130,Planta Fotovoltaica Virgen del Carmen Solar,"Virgen del Carmen Solar, S.L.",solar_fv,en_consulta,30.014,22.88,,,2019-01-28,2019-01-28,Gibraleón,21035,Huelva,https://juntadeandalucia.es/eboja/2019/18/BOJA19-018-00002-466-01_00148979.pdf
133,Ence Atarfe I,"Granada 133 Solar, S.L.U.",solar_fv,favorable_condicionada,132.89,132.89,,,2023-12-11,2024-11-27,Atarfe; Las Gabias; Pinos Puente; Santa Fe; Vegas del Genil,18022;18905;18158;18175;18911,Granada,https://juntadeandalucia.es/eboja/2023/235/BOJA23-235-00001-17869-01_00292888.pdf https://juntadeandalucia.es/eboja/2024/231/BOJA24-231-00001-52695-01_00309645.pdf
137,FV Las Encarnaciones,"Encarnaciones Energy, S.L.",solar_fv,favorable_condicionada,46.64,,104.6,,2022-09-27,2022-09-27,Carmona,41024,Sevilla,https://juntadeandalucia.es/eboja/2022/186/BOJA22-186-00001-14867-01_00268145.pdf
138,Repotenciación del Parque Eólico Cerradilla II,Olivento S.L.,eolica,en_consulta,,,,,2026-07-24,2026-07-27,Serón,04083,Almería,https://juntadeandalucia.es/eboja/2026/142/BOJA26-142-00001-9967-01_00341197.pdf https://juntadeandalucia.es/eboja/2026/143/BOJA26-143-00002-9972-01_00341203.pdf
139,Proyecto de instalación solar fotovoltaica conectada a la Red Peñascal,"La Nave PV, S.L.",solar_fv,favorable_condicionada,4.299,,,,2026-07-27,2026-07-27,Olvera; Pruna,11024;41076,Cádiz; Sevilla,https://juntadeandalucia.es/eboja/2026/143/BOJA26-143-00001-8686-01_00339918.pdf
