id,source,source_id,published_at,title,url,project_id,role,match_score,confidence,verdict,doc_type
21,boe,BOE-A-2023-2283,2023-01-28,"Resolución de 9 de enero de 2023, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto «Parque solar fotovoltaico ""Zalea"" de 141,68 MWp/121,1 MWn, y su infraestructura de evacuación, ubicado en Pizarra y Casarabonela (Málaga)».",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2023-2283,21,dia,1.0,1.0,favorable_condicionada,dia
22,boe,BOE-A-2023-2422,2023-01-30,"Resolución de 12 de enero de 2023, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Parque eólico Hinojosa, de 63,08 MW, y su infraestructura de evacuación, en las provincias de Málaga y Cádiz"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2023-2422,22,dia,0.8,0.98,favorable_condicionada,dia
23,boe,BOE-A-2023-2423,2023-01-30,"Resolución de 12 de enero de 2023, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Parques solares fotovoltaicos Baluma Solar y Boyante Solar, de 62,5 MWp cada uno, y su infraestructura de evacuación, en Albolote (Granada)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2023-2423,23,dia,1.0,1.0,favorable_condicionada,dia
24,boe,BOE-A-2023-2425,2023-01-30,"Resolución de 12 de enero de 2023, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Parque Solar Fotovoltaico Rivera de 419,95 MWP y 340,496 MWN, y su infraestructura de evacuación, en la provincia de Huelva"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2023-2425,24,dia,1.0,1.0,favorable_condicionada,dia
25,boe,BOE-A-2023-2577,2023-01-31,"Resolución de 17 de enero de 2023, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Parques fotovoltaicos Natera Solar de 41,38 MWp, Orla Solar de 78 MWp y Orla Solar II de 54,86 MWp, así como sus infraestructuras de evacuación asociadas, en Coín, Casarabonela y Pizarra (Málaga)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2023-2577,25,dia,1.0,0.98,favorable_condicionada,dia
26,boe,BOE-A-2023-2578,2023-01-31,"Resolución de 17 de enero de 2023, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Parques solares fotovoltaicos Posets Solar de 106,97 MWp y Faballones Solar de 92,49 MWp, y AAP, AAC y DUP de su infraestructura de evacuación, en la provincia de Málaga"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2023-2578,26,dia,1.0,0.98,favorable_condicionada,dia
27,boe,BOE-A-2023-2580,2023-01-31,"Resolución de 17 de enero de 2023, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Plantas Solares Fotovoltaicas y sus infraestructuras de evacuación en el Nudo Jordana, en las provincias de Cádiz y Málaga"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2023-2580,27,dia,1.0,1.0,desfavorable,dia
28,boe,BOE-A-2023-2583,2023-01-31,"Resolución de 18 de enero de 2023, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Instalación fotovoltaica Ququima de 250 MWp, subestación eléctrica transformadora Ququima 30/220 KV, y sus infraestructuras de evacuación, en Baza y Caniles (Granada)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2023-2583,28,dia,1.0,1.0,favorable_condicionada,dia
29,boe,BOE-A-2023-2586,2023-01-31,"Resolución de 18 de enero de 2023, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Parque solar fotovoltaico Archidona Solar de 103,8 MWp, y su infraestructura de evacuación, en Loja (Granada), Villanueva de Tapia, Villanueva de Algaidas y Archidona (Málaga)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2023-2586,29,dia,1.0,0.98,desfavorable,dia
30,boe,BOE-A-2023-2589,2023-01-31,"Resolución de 18 de enero de 2023, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Planta Termosolar, híbrido con fotovoltaica, Solgest-1, de 150 MW instalados y 98 MW nominal, y su infraestructura de evacuación, en la provincia de Sevilla"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2023-2589,30,dia,1.0,1.0,favorable_condicionada,dia
31,boe,BOE-A-2023-2595,2023-01-31,"Resolución de 20 de enero de 2023, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula la declaración de impacto ambiental del proyecto ""Plantas fotovoltaicas PFV Stopper Solar, de 130 MWp/108 MWp, PFV Rehala Solar, de 170 MWp/142 MWp, PFV Reclamo Solar, de 150 MWp/125 MWp, y PFV Volateo Solar, de 150 MWp/125 MWp, y su infraestructura de evacuación eléctrica, en Málaga"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2023-2595,31,dia,1.0,0.98,favorable_condicionada,dia
32,boe,BOE-A-2023-2907,2023-02-03,"Resolución de 19 de enero de 2023, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Parque eólico Filabres, 153 MW, parque eólico Peregiles, 93 MW, y del parque solar fotovoltaico La Rambla, 100 MWp y 89,125 MW, y de su infraestructura de evacuación, en Tabernas, Tahal, Senés, Lucainena de Las Torres, Níjar y Sorbas (Almería)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2023-2907,32,dia,1.0,0.98,favorable_condicionada,dia
33,boe,BOE-A-2023-2911,2023-02-03,"Resolución de 20 de enero de 2023, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto «Planta fotovoltaica ""Crucero Solar"", de 70,994 MWp/56,5 MWn, y su infraestructura de evacuación, en Olivares (Sevilla)».",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2023-2911,33,dia,1.0,1.0,desfavorable,dia
34,boe,BOE-A-2023-2922,2023-02-03,"Resolución de 23 de enero de 2023, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto «Parque solar fotovoltaico ""Guadame Solar 5"" de 138,427 MWp/130,68 MWn, y su infraestructura de evacuación, en los términos municipales de Córdoba, Bujalance, Montoro y El Carpio (Córdoba)».",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2023-2922,9,dia,0.9375,0.98,favorable_condicionada,dia
35,boe,BOE-A-2023-3088,2023-02-06,"Resolución de 20 de enero de 2023, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Plantas solares fotovoltaicas Rey I Solar PV de 120 MWp, Rey II Solar PV de 120 MWp, Rey III Solar PV de 120 MWp, Rey IV Solar PV de 120 MWp y su infraestructura de evacuación, en Carmona (Sevilla)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2023-3088,4,dia,0.8,0.98,favorable_condicionada,dia
36,boe,BOE-A-2023-3817,2023-02-13,"Resolución de 20 de enero de 2023, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Instalación solar fotovoltaica Allives, de 120 MWp, y su infraestructura de evacuación en el término municipal de Dos Hermanas y Sevilla (Sevilla)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2023-3817,36,otro,1.0,0.98,no_aplica,otro
37,boe,BOE-A-2023-3819,2023-02-13,"Resolución de 20 de enero de 2023, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Planta fotovoltaica Marciaga Solar, de 62,5 MWp, en el término municipal de Casarabonela (Málaga), de sus infraestructuras de evacuación asociadas: Subestación Transformadora Atalaya 132/30 KV y línea de alta tensión 132 KV para la conexión entre las subestaciones Atalaya-Álora. (Pfot-381)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2023-3819,37,dia,1.0,0.98,desfavorable,dia
38,boe,BOE-A-2023-9091,2023-04-12,"Resolución de 3 de abril de 2023, de la Dirección General de Calidad y Evaluación Ambiental, por la que se corrigen errores en la de 22 de diciembre de 2022, por la que se formula declaración de impacto ambiental del proyecto ""Planta fotovoltaica híbrida Majal Alto de 43,5 MWn en la provincia de Huelva"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2023-9091,38,dia,1.0,0.95,favorable_condicionada,dia
39,boe,BOE-A-2023-9754,2023-04-21,"Resolución de 30 de marzo de 2023, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Parques eólicos El Esparragal de 62,7 MW, Las Milagrosas de 62,7 MW y El Juncal de 91,2 MW y su infraestructura de evacuación en San Martín del Tesorillo, Jimena de La Frontera y San Roque (Cádiz) y Casares y Gaucín (Málaga)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2023-9754,39,dia,1.0,1.0,desfavorable,dia
40,boe,BOE-A-2023-10535,2023-05-01,"Resolución de 20 de abril de 2023, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto parque solar fotovoltaico ""Campos del Condado VI"" de 61,2 MWP/51 MWN, y su infraestructura de evacuación en Gibraleón y Trigueros (Huelva).",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2023-10535,40,dia,1.0,0.98,favorable_condicionada,dia
